Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Gift Card,SEO Title,SEO Description,Status
suporte-tablet-encosto,Suporte Tablet Encosto,<p>Carro · envio após a confirmação do pagamento.</p>,ALVA,,Carro,Carro,TRUE,Title,Default Title,carro-092,300,shopify,82,deny,manual,74.60,,TRUE,FALSE,FALSE,Suporte Tablet Encosto — ALVA,Carro · envio após a confirmação do pagamento.,active
capa-volante,Capa Volante,<p>Carro · envio após a confirmação do pagamento.</p>,ALVA,,Carro,Carro,TRUE,Title,Default Title,carro-093,300,shopify,83,deny,manual,45.58,,TRUE,FALSE,FALSE,Capa Volante — ALVA,Carro · envio após a confirmação do pagamento.,active
luz-interna-led,Luz Interna LED,<p>Carro · envio após a confirmação do pagamento.</p>,ALVA,,Carro,Carro,TRUE,Title,Default Title,carro-094,300,shopify,84,deny,manual,34.18,,TRUE,FALSE,FALSE,Luz Interna LED — ALVA,Carro · envio após a confirmação do pagamento.,active
compressor-mini-12v,Compressor Mini 12V,<p>Carro · envio após a confirmação do pagamento.</p>,ALVA,,Carro,Carro,TRUE,Title,Default Title,carro-095,300,shopify,85,deny,manual,174.04,,TRUE,FALSE,FALSE,Compressor Mini 12V — ALVA,Carro · envio após a confirmação do pagamento.,active
inversor-150w,Inversor 150W,<p>Carro · envio após a confirmação do pagamento.</p>,ALVA,,Carro,Carro,TRUE,Title,Default Title,carro-096,300,shopify,86,deny,manual,146.08,,TRUE,FALSE,FALSE,Inversor 150W — ALVA,Carro · envio após a confirmação do pagamento.,active
pelicula-antiembacante,Película Antiembaçante,<p>Carro · envio após a confirmação do pagamento.</p>,ALVA,,Carro,Carro,TRUE,Title,Default Title,carro-097,300,shopify,87,deny,manual,39.36,,TRUE,FALSE,FALSE,Película Antiembaçante — ALVA,Carro · envio após a confirmação do pagamento.,active
gancho-encosto-kit-4,Gancho Encosto Kit 4,<p>Carro · envio após a confirmação do pagamento.</p>,ALVA,,Carro,Carro,TRUE,Title,Default Title,carro-098,300,shopify,88,deny,manual,26.94,,TRUE,FALSE,FALSE,Gancho Encosto Kit 4 — ALVA,Carro · envio após a confirmação do pagamento.,active
lixeira-carro-couro,Lixeira Carro Couro,<p>Carro · envio após a confirmação do pagamento.</p>,ALVA,,Carro,Carro,TRUE,Title,Default Title,carro-099,300,shopify,89,deny,manual,56.98,,TRUE,FALSE,FALSE,Lixeira Carro Couro — ALVA,Carro · envio após a confirmação do pagamento.,active
camera-dvr-dual,Câmera DVR Dual,<p>Carro · envio após a confirmação do pagamento.</p>,ALVA,,Carro,Carro,TRUE,Title,Default Title,carro-100,300,shopify,40,deny,manual,284.90,,TRUE,FALSE,FALSE,Câmera DVR Dual — ALVA,Carro · envio após a confirmação do pagamento.,active
massageador-de-pescoco,Massageador de Pescoço,<p>Beleza · envio após a confirmação do pagamento.</p>,ALVA,,Beleza,Beleza,TRUE,Title,Default Title,beleza-101,300,shopify,41,deny,manual,31.90,,TRUE,FALSE,FALSE,Massageador de Pescoço — ALVA,Beleza · envio após a confirmação do pagamento.,active
massageador-facial-led,Massageador Facial LED,<p>Beleza · envio após a confirmação do pagamento.</p>,ALVA,,Beleza,Beleza,TRUE,Title,Default Title,beleza-102,300,shopify,42,deny,manual,97.38,,TRUE,FALSE,FALSE,Massageador Facial LED — ALVA,Beleza · envio após a confirmação do pagamento.,active
escova-alisadora,Escova Alisadora,<p>Beleza · envio após a confirmação do pagamento.</p>,ALVA,,Beleza,Beleza,TRUE,Title,Default Title,beleza-103,300,shopify,43,deny,manual,132.60,,TRUE,FALSE,FALSE,Escova Alisadora — ALVA,Beleza · envio após a confirmação do pagamento.,active
secador-compacto,Secador Compacto,<p>Beleza · envio após a confirmação do pagamento.</p>,ALVA,,Beleza,Beleza,TRUE,Title,Default Title,beleza-104,300,shopify,44,deny,manual,120.18,,TRUE,FALSE,FALSE,Secador Compacto — ALVA,Beleza · envio após a confirmação do pagamento.,active
espelho-led-maquiagem,Espelho LED Maquiagem,<p>Beleza · envio após a confirmação do pagamento.</p>,ALVA,,Beleza,Beleza,TRUE,Title,Default Title,beleza-105,300,shopify,45,deny,manual,105.68,,TRUE,FALSE,FALSE,Espelho LED Maquiagem — ALVA,Beleza · envio após a confirmação do pagamento.,active
depilador-eletrico,Depilador Elétrico,<p>Beleza · envio após a confirmação do pagamento.</p>,ALVA,,Beleza,Beleza,TRUE,Title,Default Title,beleza-106,300,shopify,46,deny,manual,144.00,,TRUE,FALSE,FALSE,Depilador Elétrico — ALVA,Beleza · envio após a confirmação do pagamento.,active
kit-skincare-rolo,Kit Skincare Rolo,<p>Beleza · envio após a confirmação do pagamento.</p>,ALVA,,Beleza,Beleza,TRUE,Title,Default Title,beleza-107,300,shopify,47,deny,manual,46.62,,TRUE,FALSE,FALSE,Kit Skincare Rolo — ALVA,Beleza · envio após a confirmação do pagamento.,active
aparador-pelos-nariz,Aparador Pelos Nariz,<p>Beleza · envio após a confirmação do pagamento.</p>,ALVA,,Beleza,Beleza,TRUE,Title,Default Title,beleza-108,300,shopify,48,deny,manual,53.88,,TRUE,FALSE,FALSE,Aparador Pelos Nariz — ALVA,Beleza · envio após a confirmação do pagamento.,active
escova-facial-sonica,Escova Facial Sônica,<p>Beleza · envio após a confirmação do pagamento.</p>,ALVA,,Beleza,Beleza,TRUE,Title,Default Title,beleza-109,300,shopify,49,deny,manual,80.80,,TRUE,FALSE,FALSE,Escova Facial Sônica — ALVA,Beleza · envio após a confirmação do pagamento.,active
modelador-cachos,Modelador Cachos,<p>Beleza · envio após a confirmação do pagamento.</p>,ALVA,,Beleza,Beleza,TRUE,Title,Default Title,beleza-110,300,shopify,50,deny,manual,149.18,,TRUE,FALSE,FALSE,Modelador Cachos — ALVA,Beleza · envio após a confirmação do pagamento.,active
removedor-cravos,Removedor Cravos,<p>Beleza · envio após a confirmação do pagamento.</p>,ALVA,,Beleza,Beleza,TRUE,Title,Default Title,beleza-111,300,shopify,51,deny,manual,89.10,,TRUE,FALSE,FALSE,Removedor Cravos — ALVA,Beleza · envio após a confirmação do pagamento.,active
lixa-pe-eletrica,Lixa Pé Elétrica,<p>Beleza · envio após a confirmação do pagamento.</p>,ALVA,,Beleza,Beleza,TRUE,Title,Default Title,beleza-112,300,shopify,52,deny,manual,94.28,,TRUE,FALSE,FALSE,Lixa Pé Elétrica — ALVA,Beleza · envio após a confirmação do pagamento.,active
kit-manicure-18pc,Kit Manicure 18pç,<p>Beleza · envio após a confirmação do pagamento.</p>,ALVA,,Beleza,Beleza,TRUE,Title,Default Title,beleza-113,300,shopify,53,deny,manual,65.26,,TRUE,FALSE,FALSE,Kit Manicure 18pç — ALVA,Beleza · envio após a confirmação do pagamento.,active
chapinha-mini,Chapinha Mini,<p>Beleza · envio após a confirmação do pagamento.</p>,ALVA,,Beleza,Beleza,TRUE,Title,Default Title,beleza-114,300,shopify,54,deny,manual,73.56,,TRUE,FALSE,FALSE,Chapinha Mini — ALVA,Beleza · envio após a confirmação do pagamento.,active
faixa-skincare,Faixa Skincare,<p>Beleza · envio após a confirmação do pagamento.</p>,ALVA,,Beleza,Beleza,TRUE,Title,Default Title,beleza-115,300,shopify,55,deny,manual,22.80,,TRUE,FALSE,FALSE,Faixa Skincare — ALVA,Beleza · envio após a confirmação do pagamento.,active
organizadora-maquiagem,Organizadora Maquiagem,<p>Beleza · envio após a confirmação do pagamento.</p>,ALVA,,Beleza,Beleza,TRUE,Title,Default Title,beleza-116,300,shopify,56,deny,manual,100.50,,TRUE,FALSE,FALSE,Organizadora Maquiagem — ALVA,Beleza · envio após a confirmação do pagamento.,active
pinca-led-sobrancelha,Pinça LED Sobrancelha,<p>Beleza · envio após a confirmação do pagamento.</p>,ALVA,,Beleza,Beleza,TRUE,Title,Default Title,beleza-117,300,shopify,57,deny,manual,35.22,,TRUE,FALSE,FALSE,Pinça LED Sobrancelha — ALVA,Beleza · envio após a confirmação do pagamento.,active
spray-nano-facial,Spray Nano Facial,<p>Beleza · envio após a confirmação do pagamento.</p>,ALVA,,Beleza,Beleza,TRUE,Title,Default Title,beleza-118,300,shopify,58,deny,manual,70.44,,TRUE,FALSE,FALSE,Spray Nano Facial — ALVA,Beleza · envio após a confirmação do pagamento.,active
massageador-couro-cabeludo,Massageador Couro Cabeludo,<p>Beleza · envio após a confirmação do pagamento.</p>,ALVA,,Beleza,Beleza,TRUE,Title,Default Title,beleza-119,300,shopify,59,deny,manual,40.40,,TRUE,FALSE,FALSE,Massageador Couro Cabeludo — ALVA,Beleza · envio após a confirmação do pagamento.,active
kit-barba-homem,Kit Barba Homem,<p>Beleza · envio após a confirmação do pagamento.</p>,ALVA,,Beleza,Beleza,TRUE,Title,Default Title,beleza-120,300,shopify,60,deny,manual,157.48,,TRUE,FALSE,FALSE,Kit Barba Homem — ALVA,Beleza · envio após a confirmação do pagamento.,active
tapete-yoga-6mm,Tapete Yoga 6mm,<p>Esporte · envio após a confirmação do pagamento.</p>,ALVA,,Esporte,Esporte,TRUE,Title,Default Title,esporte-121,300,shopify,61,deny,manual,163.28,,TRUE,FALSE,FALSE,Tapete Yoga 6mm — ALVA,Esporte · envio após a confirmação do pagamento.,active
tapete-yoga-extra-grosso,Tapete Yoga Extra Grosso,<p>Esporte · envio após a confirmação do pagamento.</p>,ALVA,,Esporte,Esporte,TRUE,Title,Default Title,esporte-122,300,shopify,62,deny,manual,188.56,,TRUE,FALSE,FALSE,Tapete Yoga Extra Grosso — ALVA,Esporte · envio após a confirmação do pagamento.,active
meias-compressao-20-30,Meias Compressão 20-30,<p>Esporte · envio após a confirmação do pagamento.</p>,ALVA,,Esporte,Esporte,TRUE,Title,Default Title,esporte-123,300,shopify,63,deny,manual,32.42,,TRUE,FALSE,FALSE,Meias Compressão 20-30 — ALVA,Esporte · envio após a confirmação do pagamento.,active
corda-crossfit,Corda Crossfit,<p>Esporte · envio após a confirmação do pagamento.</p>,ALVA,,Esporte,Esporte,TRUE,Title,Default Title,esporte-124,300,shopify,64,deny,manual,49.72,,TRUE,FALSE,FALSE,Corda Crossfit — ALVA,Esporte · envio após a confirmação do pagamento.,active
elastico-kit-5,Elástico Kit 5,<p>Esporte · envio após a confirmação do pagamento.</p>,ALVA,,Esporte,Esporte,TRUE,Title,Default Title,esporte-125,300,shopify,65,deny,manual,71.48,,TRUE,FALSE,FALSE,Elástico Kit 5 — ALVA,Esporte · envio após a confirmação do pagamento.,active
rolo-liberacao-miofascial,Rolo Liberação Miofascial,<p>Esporte · envio após a confirmação do pagamento.</p>,ALVA,,Esporte,Esporte,TRUE,Title,Default Title,esporte-126,300,shopify,66,deny,manual,87.02,,TRUE,FALSE,FALSE,Rolo Liberação Miofascial — ALVA,Esporte · envio após a confirmação do pagamento.,active
garrafa-1l-esportiva,Garrafa 1L Esportiva,<p>Esporte · envio após a confirmação do pagamento.</p>,ALVA,,Esporte,Esporte,TRUE,Title,Default Title,esporte-127,300,shopify,67,deny,manual,58.02,,TRUE,FALSE,FALSE,Garrafa 1L Esportiva — ALVA,Esporte · envio após a confirmação do pagamento.,active
luvas-academia,Luvas Academia,<p>Esporte · envio após a confirmação do pagamento.</p>,ALVA,,Esporte,Esporte,TRUE,Title,Default Title,esporte-128,300,shopify,68,deny,manual,43.52,,TRUE,FALSE,FALSE,Luvas Academia — ALVA,Esporte · envio após a confirmação do pagamento.,active
caneleira-2kg-par,Caneleira 2kg Par,<p>Esporte · envio após a confirmação do pagamento.</p>,ALVA,,Esporte,Esporte,TRUE,Title,Default Title,esporte-129,300,shopify,69,deny,manual,98.42,,TRUE,FALSE,FALSE,Caneleira 2kg Par — ALVA,Esporte · envio após a confirmação do pagamento.,active
bola-pilates-65cm,Bola Pilates 65cm,<p>Esporte · envio após a confirmação do pagamento.</p>,ALVA,,Esporte,Esporte,TRUE,Title,Default Title,esporte-130,300,shopify,70,deny,manual,79.78,,TRUE,FALSE,FALSE,Bola Pilates 65cm — ALVA,Esporte · envio após a confirmação do pagamento.,active
mini-bike-pedal,Mini Bike Pedal,<p>Esporte · envio após a confirmação do pagamento.</p>,ALVA,,Esporte,Esporte,TRUE,Title,Default Title,esporte-131,300,shopify,71,deny,manual,232.06,,TRUE,FALSE,FALSE,Mini Bike Pedal — ALVA,Esporte · envio após a confirmação do pagamento.,active
suporte-celular-bike,Suporte Celular Bike,<p>Esporte · envio após a confirmação do pagamento.</p>,ALVA,,Esporte,Esporte,TRUE,Title,Default Title,esporte-132,300,shopify,72,deny,manual,37.30,,TRUE,FALSE,FALSE,Suporte Celular Bike — ALVA,Esporte · envio após a confirmação do pagamento.,active
farol-bike-usb,Farol Bike USB,<p>Esporte · envio após a confirmação do pagamento.</p>,ALVA,,Esporte,Esporte,TRUE,Title,Default Title,esporte-133,300,shopify,73,deny,manual,63.20,,TRUE,FALSE,FALSE,Farol Bike USB — ALVA,Esporte · envio após a confirmação do pagamento.,active
joelheira-compressao,Joelheira Compressão,<p>Esporte · envio após a confirmação do pagamento.</p>,ALVA,,Esporte,Esporte,TRUE,Title,Default Title,esporte-134,300,shopify,74,deny,manual,55.94,,TRUE,FALSE,FALSE,Joelheira Compressão — ALVA,Esporte · envio após a confirmação do pagamento.,active
faixa-headband-suor,Faixa Headband Suor,<p>Esporte · envio após a confirmação do pagamento.</p>,ALVA,,Esporte,Esporte,TRUE,Title,Default Title,esporte-135,300,shopify,75,deny,manual,29.00,,TRUE,FALSE,FALSE,Faixa Headband Suor — ALVA,Esporte · envio após a confirmação do pagamento.,active
cinto-hidratacao,Cinto Hidratação,<p>Esporte · envio após a confirmação do pagamento.</p>,ALVA,,Esporte,Esporte,TRUE,Title,Default Title,esporte-136,300,shopify,76,deny,manual,84.96,,TRUE,FALSE,FALSE,Cinto Hidratação — ALVA,Esporte · envio após a confirmação do pagamento.,active
contador-passos-clip,Contador Passos Clip,<p>Esporte · envio após a confirmação do pagamento.</p>,ALVA,,Esporte,Esporte,TRUE,Title,Default Title,esporte-137,300,shopify,77,deny,manual,32.12,,TRUE,FALSE,FALSE,Contador Passos Clip — ALVA,Esporte · envio após a confirmação do pagamento.,active
toalha-esportiva,Toalha Esportiva,<p>Esporte · envio após a confirmação do pagamento.</p>,ALVA,,Esporte,Esporte,TRUE,Title,Default Title,esporte-138,300,shopify,78,deny,manual,40.40,,TRUE,FALSE,FALSE,Toalha Esportiva — ALVA,Esporte · envio após a confirmação do pagamento.,active
halteres-ajustaveis-par,Halteres Ajustáveis Par,<p>Esporte · envio após a confirmação do pagamento.</p>,ALVA,,Esporte,Esporte,TRUE,Title,Default Title,esporte-139,300,shopify,79,deny,manual,300.44,,TRUE,FALSE,FALSE,Halteres Ajustáveis Par — ALVA,Esporte · envio após a confirmação do pagamento.,active
barra-porta-exercicio,Barra Porta Exercício,<p>Esporte · envio após a confirmação do pagamento.</p>,ALVA,,Esporte,Esporte,TRUE,Title,Default Title,esporte-140,300,shopify,80,deny,manual,170.94,,TRUE,FALSE,FALSE,Barra Porta Exercício — ALVA,Esporte · envio após a confirmação do pagamento.,active
aquecedor-de-mamadeira,Aquecedor de Mamadeira,<p>Bebê · envio após a confirmação do pagamento.</p>,ALVA,,Bebê,Bebê,TRUE,Title,Default Title,bebe-141,300,shopify,81,deny,manual,112.50,,TRUE,FALSE,FALSE,Aquecedor de Mamadeira — ALVA,Bebê · envio após a confirmação do pagamento.,active
almofada-amamentacao,Almofada Amamentação,<p>Bebê · envio após a confirmação do pagamento.</p>,ALVA,,Bebê,Bebê,TRUE,Title,Default Title,bebe-142,300,shopify,82,deny,manual,73.14,,TRUE,FALSE,FALSE,Almofada Amamentação — ALVA,Bebê · envio após a confirmação do pagamento.,active
babador-silicone-kit-3,Babador Silicone Kit 3,<p>Bebê · envio após a confirmação do pagamento.</p>,ALVA,,Bebê,Bebê,TRUE,Title,Default Title,bebe-143,300,shopify,83,deny,manual,55.94,,TRUE,FALSE,FALSE,Babador Silicone Kit 3 — ALVA,Bebê · envio após a confirmação do pagamento.,active
mordedor-gelado,Mordedor Gelado,<p>Bebê · envio após a confirmação do pagamento.</p>,ALVA,,Bebê,Bebê,TRUE,Title,Default Title,bebe-144,300,shopify,84,deny,manual,33.16,,TRUE,FALSE,FALSE,Mordedor Gelado — ALVA,Bebê · envio após a confirmação do pagamento.,active
monitor-bebe-camera,Monitor Bebê Câmera,<p>Bebê · envio após a confirmação do pagamento.</p>,ALVA,,Bebê,Bebê,TRUE,Title,Default Title,bebe-145,300,shopify,85,deny,manual,256.92,,TRUE,FALSE,FALSE,Monitor Bebê Câmera — ALVA,Bebê · envio após a confirmação do pagamento.,active
protetor-tomada-kit-20,Protetor Tomada Kit 20,<p>Bebê · envio após a confirmação do pagamento.</p>,ALVA,,Bebê,Bebê,TRUE,Title,Default Title,bebe-146,300,shopify,86,deny,manual,37.30,,TRUE,FALSE,FALSE,Protetor Tomada Kit 20 — ALVA,Bebê · envio após a confirmação do pagamento.,active
trava-gaveta-kit-10,Trava Gaveta Kit 10,<p>Bebê · envio após a confirmação do pagamento.</p>,ALVA,,Bebê,Bebê,TRUE,Title,Default Title,bebe-147,300,shopify,87,deny,manual,42.48,,TRUE,FALSE,FALSE,Trava Gaveta Kit 10 — ALVA,Bebê · envio após a confirmação do pagamento.,active
cadeira-alimentacao-portatil,Cadeira Alimentação Portátil,<p>Bebê · envio após a confirmação do pagamento.</p>,ALVA,,Bebê,Bebê,TRUE,Title,Default Title,bebe-148,300,shopify,88,deny,manual,195.80,,TRUE,FALSE,FALSE,Cadeira Alimentação Portátil — ALVA,Bebê · envio após a confirmação do pagamento.,active
mosquiteiro-carrinho,Mosquiteiro Carrinho,<p>Bebê · envio após a confirmação do pagamento.</p>,ALVA,,Bebê,Bebê,TRUE,Title,Default Title,bebe-149,300,shopify,89,deny,manual,49.72,,TRUE,FALSE,FALSE,Mosquiteiro Carrinho — ALVA,Bebê · envio após a confirmação do pagamento.,active
organizador-carrinho,Organizador Carrinho,<p>Bebê · envio após a confirmação do pagamento.</p>,ALVA,,Bebê,Bebê,TRUE,Title,Default Title,bebe-150,300,shopify,40,deny,manual,77.70,,TRUE,FALSE,FALSE,Organizador Carrinho — ALVA,Bebê · envio após a confirmação do pagamento.,active
termometro-banho,Termômetro Banho,<p>Bebê · envio após a confirmação do pagamento.</p>,ALVA,,Bebê,Bebê,TRUE,Title,Default Title,bebe-151,300,shopify,41,deny,manual,61.12,,TRUE,FALSE,FALSE,Termômetro Banho — ALVA,Bebê · envio após a confirmação do pagamento.,active
cortador-unha-bebe,Cortador Unha Bebê,<p>Bebê · envio após a confirmação do pagamento.</p>,ALVA,,Bebê,Bebê,TRUE,Title,Default Title,bebe-152,300,shopify,42,deny,manual,84.96,,TRUE,FALSE,FALSE,Cortador Unha Bebê — ALVA,Bebê · envio após a confirmação do pagamento.,active
bolsa-maternidade-3pc,Bolsa Maternidade 3pç,<p>Bebê · envio após a confirmação do pagamento.</p>,ALVA,,Bebê,Bebê,TRUE,Title,Default Title,bebe-153,300,shopify,43,deny,manual,169.90,,TRUE,FALSE,FALSE,Bolsa Maternidade 3pç — ALVA,Bebê · envio após a confirmação do pagamento.,active
protetor-sol-carrinho,Protetor Sol Carrinho,<p>Bebê · envio após a confirmação do pagamento.</p>,ALVA,,Bebê,Bebê,TRUE,Title,Default Title,bebe-154,300,shopify,44,deny,manual,65.26,,TRUE,FALSE,FALSE,Protetor Sol Carrinho — ALVA,Bebê · envio após a confirmação do pagamento.,active
chocalho-sensorial,Chocalho Sensorial,<p>Bebê · envio após a confirmação do pagamento.</p>,ALVA,,Bebê,Bebê,TRUE,Title,Default Title,bebe-155,300,shopify,45,deny,manual,38.34,,TRUE,FALSE,FALSE,Chocalho Sensorial — ALVA,Bebê · envio após a confirmação do pagamento.,active
tapete-atividades,Tapete Atividades,<p>Bebê · envio após a confirmação do pagamento.</p>,ALVA,,Bebê,Bebê,TRUE,Title,Default Title,bebe-156,300,shopify,46,deny,manual,198.92,,TRUE,FALSE,FALSE,Tapete Atividades — ALVA,Bebê · envio após a confirmação do pagamento.,active
redutor-sanitario,Redutor Sanitário,<p>Bebê · envio após a confirmação do pagamento.</p>,ALVA,,Bebê,Bebê,TRUE,Title,Default Title,bebe-157,300,shopify,47,deny,manual,70.44,,TRUE,FALSE,FALSE,Redutor Sanitário — ALVA,Bebê · envio após a confirmação do pagamento.,active
escova-cabelo-bebe,Escova Cabelo Bebê,<p>Bebê · envio após a confirmação do pagamento.</p>,ALVA,,Bebê,Bebê,TRUE,Title,Default Title,bebe-158,300,shopify,48,deny,manual,35.22,,TRUE,FALSE,FALSE,Escova Cabelo Bebê — ALVA,Bebê · envio após a confirmação do pagamento.,active
porta-chupeta-clip,Porta-Chupeta Clip,<p>Bebê · envio após a confirmação do pagamento.</p>,ALVA,,Bebê,Bebê,TRUE,Title,Default Title,bebe-159,300,shopify,49,deny,manual,26.94,,TRUE,FALSE,FALSE,Porta-Chupeta Clip — ALVA,Bebê · envio após a confirmação do pagamento.,active
umidificador-quarto-bebe,Umidificador Quarto Bebê,<p>Bebê · envio após a confirmação do pagamento.</p>,ALVA,,Bebê,Bebê,TRUE,Title,Default Title,bebe-160,300,shopify,50,deny,manual,139.86,,TRUE,FALSE,FALSE,Umidificador Quarto Bebê — ALVA,Bebê · envio após a confirmação do pagamento.,active
suporte-notebook-aluminio,Suporte Notebook Alumínio,<p>Escritório · envio após a confirmação do pagamento.</p>,ALVA,,Escritório,Escritório,TRUE,Title,Default Title,escritorio-161,300,shopify,51,deny,manual,122.24,,TRUE,FALSE,FALSE,Suporte Notebook Alumínio — ALVA,Escritório · envio após a confirmação do pagamento.,active
apoio-punho-teclado,Apoio Punho Teclado,<p>Escritório · envio após a confirmação do pagamento.</p>,ALVA,,Escritório,Escritório,TRUE,Title,Default Title,escritorio-162,300,shopify,52,deny,manual,47.66,,TRUE,FALSE,FALSE,Apoio Punho Teclado — ALVA,Escritório · envio após a confirmação do pagamento.,active
mouse-pad-grande,Mouse Pad Grande,<p>Escritório · envio após a confirmação do pagamento.</p>,ALVA,,Escritório,Escritório,TRUE,Title,Default Title,escritorio-163,300,shopify,53,deny,manual,61.12,,TRUE,FALSE,FALSE,Mouse Pad Grande — ALVA,Escritório · envio após a confirmação do pagamento.,active
organizador-mesa,Organizador Mesa,<p>Escritório · envio após a confirmação do pagamento.</p>,ALVA,,Escritório,Escritório,TRUE,Title,Default Title,escritorio-164,300,shopify,54,deny,manual,87.02,,TRUE,FALSE,FALSE,Organizador Mesa — ALVA,Escritório · envio após a confirmação do pagamento.,active
luminaria-clip-led,Luminária Clip LED,<p>Escritório · envio após a confirmação do pagamento.</p>,ALVA,,Escritório,Escritório,TRUE,Title,Default Title,escritorio-165,300,shopify,55,deny,manual,69.42,,TRUE,FALSE,FALSE,Luminária Clip LED — ALVA,Escritório · envio após a confirmação do pagamento.,active
suporte-monitor,Suporte Monitor,<p>Escritório · envio após a confirmação do pagamento.</p>,ALVA,,Escritório,Escritório,TRUE,Title,Default Title,escritorio-166,300,shopify,56,deny,manual,136.76,,TRUE,FALSE,FALSE,Suporte Monitor — ALVA,Escritório · envio após a confirmação do pagamento.,active
fone-headset-call,Fone Headset Call,<p>Escritório · envio após a confirmação do pagamento.</p>,ALVA,,Escritório,Escritório,TRUE,Title,Default Title,escritorio-167,300,shopify,57,deny,manual,130.54,,TRUE,FALSE,FALSE,Fone Headset Call — ALVA,Escritório · envio após a confirmação do pagamento.,active
cadeira-lombar-portatil,Cadeira Lombar Portátil,<p>Escritório · envio após a confirmação do pagamento.</p>,ALVA,,Escritório,Escritório,TRUE,Title,Default Title,escritorio-168,300,shopify,58,deny,manual,101.52,,TRUE,FALSE,FALSE,Cadeira Lombar Portátil — ALVA,Escritório · envio após a confirmação do pagamento.,active
divisoria-gaveta,Divisória Gaveta,<p>Escritório · envio após a confirmação do pagamento.</p>,ALVA,,Escritório,Escritório,TRUE,Title,Default Title,escritorio-169,300,shopify,59,deny,manual,53.88,,TRUE,FALSE,FALSE,Divisória Gaveta — ALVA,Escritório · envio após a confirmação do pagamento.,active
etiquetadora-manual,Etiquetadora Manual,<p>Escritório · envio após a confirmação do pagamento.</p>,ALVA,,Escritório,Escritório,TRUE,Title,Default Title,escritorio-170,300,shopify,60,deny,manual,150.22,,TRUE,FALSE,FALSE,Etiquetadora Manual — ALVA,Escritório · envio após a confirmação do pagamento.,active
grampeador-pesado,Grampeador Pesado,<p>Escritório · envio após a confirmação do pagamento.</p>,ALVA,,Escritório,Escritório,TRUE,Title,Default Title,escritorio-171,300,shopify,61,deny,manual,63.20,,TRUE,FALSE,FALSE,Grampeador Pesado — ALVA,Escritório · envio após a confirmação do pagamento.,active
quadro-branco-magnetico,Quadro Branco Magnético,<p>Escritório · envio após a confirmação do pagamento.</p>,ALVA,,Escritório,Escritório,TRUE,Title,Default Title,escritorio-172,300,shopify,62,deny,manual,92.20,,TRUE,FALSE,FALSE,Quadro Branco Magnético — ALVA,Escritório · envio após a confirmação do pagamento.,active
cabo-organizador-kit,Cabo Organizador Kit,<p>Escritório · envio após a confirmação do pagamento.</p>,ALVA,,Escritório,Escritório,TRUE,Title,Default Title,escritorio-173,300,shopify,63,deny,manual,44.54,,TRUE,FALSE,FALSE,Cabo Organizador Kit — ALVA,Escritório · envio após a confirmação do pagamento.,active
suporte-fone-mesa,Suporte Fone Mesa,<p>Escritório · envio após a confirmação do pagamento.</p>,ALVA,,Escritório,Escritório,TRUE,Title,Default Title,escritorio-174,300,shopify,64,deny,manual,56.98,,TRUE,FALSE,FALSE,Suporte Fone Mesa — ALVA,Escritório · envio após a confirmação do pagamento.,active
calculadora-solar,Calculadora Solar,<p>Escritório · envio após a confirmação do pagamento.</p>,ALVA,,Escritório,Escritório,TRUE,Title,Default Title,escritorio-175,300,shopify,65,deny,manual,39.36,,TRUE,FALSE,FALSE,Calculadora Solar — ALVA,Escritório · envio após a confirmação do pagamento.,active
pasta-acordeao,Pasta Acordeão,<p>Escritório · envio após a confirmação do pagamento.</p>,ALVA,,Escritório,Escritório,TRUE,Title,Default Title,escritorio-176,300,shopify,66,deny,manual,66.30,,TRUE,FALSE,FALSE,Pasta Acordeão — ALVA,Escritório · envio após a confirmação do pagamento.,active
relogio-mesa-digital,Relógio Mesa Digital,<p>Escritório · envio após a confirmação do pagamento.</p>,ALVA,,Escritório,Escritório,TRUE,Title,Default Title,escritorio-177,300,shopify,67,deny,manual,74.60,,TRUE,FALSE,FALSE,Relógio Mesa Digital — ALVA,Escritório · envio após a confirmação do pagamento.,active
apoio-pes-escritorio,Apoio Pés Escritório,<p>Escritório · envio após a confirmação do pagamento.</p>,ALVA,,Escritório,Escritório,TRUE,Title,Default Title,escritorio-178,300,shopify,68,deny,manual,107.74,,TRUE,FALSE,FALSE,Apoio Pés Escritório — ALVA,Escritório · envio após a confirmação do pagamento.,active
webcam-cover-kit-3,Webcam Cover Kit 3,<p>Escritório · envio após a confirmação do pagamento.</p>,ALVA,,Escritório,Escritório,TRUE,Title,Default Title,escritorio-179,300,shopify,69,deny,manual,21.76,,TRUE,FALSE,FALSE,Webcam Cover Kit 3 — ALVA,Escritório · envio após a confirmação do pagamento.,active
hub-mesa-qi,Hub Mesa Qi,<p>Escritório · envio após a confirmação do pagamento.</p>,ALVA,,Escritório,Escritório,TRUE,Title,Default Title,escritorio-180,300,shopify,70,deny,manual,161.62,,TRUE,FALSE,FALSE,Hub Mesa Qi — ALVA,Escritório · envio após a confirmação do pagamento.,active
